"通貨ペア","日付","始値","高値","安値","終値"
"1","2020/02/19",109.846,111.593,109.832,111.349
"1","2020/02/18",109.817,109.947,109.657,109.876
"1","2020/02/17",109.824,109.961,109.720,109.88
"1","2020/02/14",109.786,109.911,109.697,109.767
"1","2020/02/13",110.051,110.088,109.618,109.824
"1","2020/02/12",109.771,110.133,109.754,110.111
"1","2020/02/11",109.753,109.965,109.727,109.787
"1","2020/02/10",109.661,109.878,109.563,109.77
"1","2020/02/07",109.962,110.014,109.532,109.785
"1","2020/02/06",109.774,110.002,109.761,109.985
"1","2020/02/05",109.468,109.845,109.304,109.834
"1","2020/02/04",108.677,109.544,108.549,109.516
"1","2020/02/03",108.461,108.798,108.299,108.686
"1","2020/01/31",108.912,109.136,108.310,108.347
"1","2020/01/30",108.985,109.063,108.583,108.956
"1","2020/01/29",109.110,109.261,108.976,109.037
"1","2020/01/28",108.862,109.203,108.756,109.152
"1","2020/01/27",108.897,109.136,108.732,108.897
"1","2020/01/24",109.469,109.652,109.171,109.268
"1","2020/01/23",109.821,109.840,109.266,109.478
"1","2020/01/22",109.829,110.098,109.809,109.847
"1","2020/01/21",110.154,110.222,109.759,109.862
"1","2020/01/20",110.067,110.217,110.061,110.173
"1","2020/01/17",110.137,110.290,110.047,110.162
"1","2020/01/16",109.860,110.178,109.840,110.167
"1","2020/01/15",109.962,110.002,109.788,109.906
"1","2020/01/14",109.897,110.213,109.849,110.001
"1","2020/01/13",109.517,109.947,109.493,109.942
"1","2020/01/10",109.519,109.690,109.431,109.482
"1","2020/01/09",109.060,109.582,109.012,109.517
"1","2020/01/08",108.441,109.245,107.651,109.136
"1","2020/01/07",108.334,108.628,108.262,108.482
"1","2020/01/06",107.822,108.505,107.774,108.373
"1","2020/01/03",108.532,108.629,107.840,108.106
"1","2020/01/02",108.719,108.865,108.212,108.543
"1","2019/12/31",108.849,108.878,108.470,108.64
"1","2019/12/30",109.362,109.458,108.767,108.876
"1","2019/12/27",109.541,109.591,109.388,109.48
"1","2019/12/26",109.332,109.683,109.332,109.635
"1","2019/12/25",109.349,109.397,109.330,109.371
"1","2019/12/24",109.383,109.441,109.326,109.35
